"Gemeenten";"Aandeel huishoudens met vermogen van minimaal € 5.000|2018";"Aandeel huishoudens met vermogen van minimaal € 10.000|2018";"Aandeel huishoudens met vermogen van minimaal € 20.000|2018";"Aandeel huishoudens met vermogen van minimaal € 15.000|2018";"Aandeel huishoudens met vermogen van minimaal € 25.000|2018";"Aandeel huishoudens met vermogen van minimaal € 30.000|2018";"Aandeel huishoudens met vermogen van minimaal € 35.000|2018";"Aandeel huishoudens met vermogen van minimaal € 40.000|2018";"Aandeel huishoudens met vermogen van minimaal € 45.000|2018";"Aandeel huishoudens met vermogen van minimaal € 50.000|2018"
"Weststellingwerf";83;72;57;63;51;46;42;38;35;32
"Westvoorne";87;80;67;73;62;57;53;49;46;43
"Wierden";88;78;63;70;57;51;46;42;39;35
"Wijchen";86;76;61;68;54;48;44;39;36;33
"Wijdemeren";89;80;68;74;63;58;54;50;46;43
"Wijk bij Duurstede";86;76;61;68;55;50;45;41;37;34
"Winterswijk";81;70;54;61;47;42;38;34;31;28
"Woensdrecht";83;74;60;67;54;50;45;42;38;35
"Woerden";90;82;69;75;63;57;53;48;45;41
"Wormerland";87;78;62;69;56;51;46;42;38;35
"Woudenberg";89;80;65;72;58;52;48;44;40;37
"Zaanstad";79;67;51;58;45;40;36;32;29;26
"Zaltbommel";88;78;64;71;57;52;47;43;40;37
"Zandvoort";83;74;61;68;56;51;47;43;41;38
"Zeewolde";82;71;55;62;49;44;39;35;31;29
"Zeist";89;82;70;76;65;61;57;53;50;48
"Zevenaar";82;70;54;61;47;42;38;33;30;27
"Zoetermeer";83;71;55;62;49;44;40;36;32;29
"Zoeterwoude";91;83;69;76;63;58;53;49;46;43
"Zuidplas";88;78;64;71;58;53;48;44;41;37
"Zundert";91;84;72;78;67;62;57;53;50;46
"Zutphen";82;71;55;62;49;44;39;35;32;29
"Zwartewaterland";84;73;56;64;50;44;40;35;32;28
"Zwijndrecht";81;71;55;62;49;44;40;36;33;30
"Zwolle";85;75;58;66;51;46;41;37;34;30
"Gemeente onbekend";"";"";"";"";"";"";"";"";"";""
