"Gemeenten";"energy";"electricity";"warmth";"transport"
"Schouwen-Duiveland";45,6;246,7;20,5;4,8
"'s-Hertogenbosch";5,1;5,4;4,1;5,9
"Simpelveld";7,5;13,8;6,7;5,9
"Sint Anthonis";9,0;12,4;9,6;6,0
"Sint-Michielsgestel";7,6;11,8;7,4;5,9
"Sittard-Geleen";"?";"?";"?";5,9
"Sliedrecht";4,7;6,3;3,3;5,5
"Sluis";10,5;26,0;8,2;5,6
"Smallingerland";6,0;7,6;5,2;5,9
"Soest";5,0;6,4;3,8;6,0
"Someren";5,4;11,1;3,7;6,0
"Son en Breugel";25,8;8,1;42,6;6,0
"Stadskanaal";9,0;22,4;5,9;5,9
"Staphorst";6,9;17,7;2,7;6,0
"Stede Broec";4,9;8,6;2,9;5,9
"Steenbergen";"?";31,5;"?";4,4
"Steenwijkerland";9,0;9,8;11,7;5,7
"Stein";"?";16,3;13,6;5,2
"Stichtse Vecht";5,1;4,9;5,3;5,0
"Súdwest-Fryslân";13,5;53,3;5,1;5,6
"Terneuzen";"?";13,0;"?";2,4
"Terschelling";3,6;10,1;3,5;1,2
"Texel";4,3;9,9;3,0;3,3
"Teylingen";5,3;7,3;3,7;5,9
"Tholen";14,9;93,6;3,8;2,7
"Tiel";4,4;5,1;3,5;5,1
"Tilburg";6,0;7,8;5,0;6,1
"Tubbergen";11,1;11,5;13,8;7,3
"Twenterand";10,1;9,9;12,5;5,9
"Tynaarlo";7,7;25,4;3,7;5,9
"Tytsjerksteradiel";18,7;10,2;28,0;5,3
"Uden";10,6;11,0;13,4;6,0
"Uitgeest";5,8;7,6;4,8;5,9
"Uithoorn";4,2;4,6;3,2;5,9
"Urk";15,4;32,6;7,1;4,5
"Utrecht";5,8;3,9;6,9;5,7
"Utrechtse Heuvelrug";4,7;7,0;1,9;5,9
"Vaals";4,6;7,0;3,4;5,9
"Valkenburg aan de Geul";5,0;7,3;3,5;6,0
"Valkenswaard";4,8;5,6;3,6;6,0
"Veendam";"?";8,2;"?";6,0
"Veenendaal";10,6;5,2;15,1;6,0
"Veere";36,3;169,2;5,3;5,7
"Veldhoven";4,4;3,6;4,2;6,0
"Velsen";"?";1,1;"?";3,5
"Venlo";4,4;5,8;2,9;5,8
"Venray";9,3;9,2;11,5;5,8
"Vijfheerenlanden";5,5;13,7;2,4;5,6
"Vlaardingen";8,7;8,8;10,3;5,4
"Vlieland";4,8;16,1;2,0;0,4
"Vlissingen";"?";22,1;"?";1,0
"Voerendaal";7,3;14,2;6,5;5,9
"Voorschoten";4,0;4,6;3,3;5,8
"Voorst";7,1;8,8;8,4;5,8
"Vught";5,2;5,6;4,2;6,0
"Waadhoeke";13,8;54,0;9,3;5,8
"Waalre";6,5;10,1;5,9;6,0
"Waalwijk";5,5;7,1;4,0;5,9
"Waddinxveen";7,1;15,5;5,2;5,9
"Wageningen";4,1;5,7;2,6;5,6
"Wassenaar";3,8;2,4;2,7;5,9
"Waterland";7,3;21,8;5,3;5,2
"Weert";6,1;8,1;4,8;6,0
"Weesp";3,1;3,6;1,7;5,8
"West Betuwe";9,4;10,9;14,8;4,9
"West Maas en Waal";10,3;43,3;6,6;3,3
"Westerkwartier";7,5;8,9;8,7;5,7
"Westerveld";6,9;13,9;5,6;5,8
"Westervoort";"?";8,6;"?";5,2
"Westerwolde";"?";6,3;"?";5,9
"Westland";5,6;3,1;6,0;6,0
"Weststellingwerf";8,0;19,1;5,5;5,8
"Westvoorne";2,5;7,1;1,6;5,9
"Wierden";7,1;13,6;6,2;6,0
"Wijchen";4,7;6,6;3,0;5,9
"Wijdemeren";7,1;12,7;6,0;5,9
"Wijk bij Duurstede";4,8;9,6;2,9;4,6
"Winterswijk";5,5;8,7;4,1;5,8
"Woensdrecht";6,8;6,8;7,8;6,1
