"Gemeenten";"CO2-uitstoot Gebouwde Omgeving (aardgas elektr. en stadswarmte woningen)|2019";"CO2-uitstoot Verkeer en vervoer incl. auto(snel)wegen excl. elektr. railverkeer (scope 1)|2019";"CO2-uitstoot Industrie Energie Afval en Water (aardgas en elektr.)|2019";"CO2-uitstoot Landbouw bosbouw en visserij SBI A (aardgas elektr.)|2019";"Totaal bekende CO2-uitstoot (aardgas elektr. stadswarmte woningen voertuigbrandstoffen)|2019"
"Zeist";179746;112699;14042;898;307400
"Zevenaar";102207;94199;120396;3354;320200
"Zoetermeer";-1;146353;44771;-1;-1
"Zoeterwoude";-1;19528;-1;-1;-1
"Zuidplas";90322;133703;25125;215710;464900
"Zundert";56379;28671;10413;23909;119400
"Zutphen";114799;55216;43813;3707;217500
"Zwartewaterland";49185;38398;83684;3193;174500
"Zwijndrecht";97364;78134;97726;-1;273700
"Zwolle";336755;240982;88111;3248;669400
"Gemeente onbekend";-1;3679098;"";"";-1
